"Change buttons color by store-view","Alterar a cor dos botões por visualização de loja"
"Invalid HEX color","Cor HEX inválida"
"Store view does not exist","A visualização de loja não existe"
"Button color updated successfully","Cor dos botões atualizada com sucesso"
"Run bin/magento cache:clean to apply the changes","Execute bin/magento cache:clean para aplicar as alterações"
